Username,Handle,Published,Tweet,Duration
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.10632841599999665
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.1064190829999987
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.1690695000000062
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.1691712500000051
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.16947583300000701
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.16952495800001088
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.1699077920000036
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.1699680420000078
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.1702149170000098
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.17044262500000684
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.17054345799999737
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.17058750000001055
lisa mirando,https://twitter.com/LisaMirandoCNN,"\xb7Oct 8, 2019","Another breaking news story from @PamelaBrownCNN and @kaitlancollins #cnnQuoteBrian Stelter@brianstelter\xb7Oct 8CNN scoop: The July 25 call ""deeply troubled national security pros... At least one National Security Council official alerted the White House's national security lawyers about the concerns...""",0.10243024999999761
Marc Spector (Not a spaz),https://twitter.com/MarcSpector77,"\xb7Oct 7, 2019",Replying to @CNNBREAKING NEWS: CNN has to find headline to trash Joker after they were disappointed from the lack of shootings.2,0.10252266700000234
The Louis Centeno Show,https://twitter.com/Superman0621,"\xb7Oct 9, 2019",Replying to @CNN and @blowryontvBREAKING NEWS. CNN is reporting that a man and a woman was arrested for dropping popcorn on the floor as they watch Joker. CNN is monitoring the situation why couple brought and was eating popcorn at a Joker movie. Stay tune lol lol13,0.10285833400000399
B. Anders Davidson,https://twitter.com/bandersdavidson,"\xb7Oct 4, 2019",CNN Newsroom [9AM] 10/04/19 | CNN Breaking News Today Oct 04  via @YouTube,0.10291633399999967
Julie Gaffney OLY  ,https://twitter.com/MedalistOlympic,"\xb7Oct 3, 2019",@JohnKingCNN This is CNN Breaking News: Todd angilly officially named the official National Anthem Singer for the Boston Bruins Succeeding Rene Rancourt! Please report on your show as CNN breaking News with the B.N graphic proceeding it!,0.10321374999999477
Foundlaurie ,https://twitter.com/foundlaurie,"\xb7Oct 7, 2019",Breaking Trump News [7AM] 10/07/19 | CNN Breaking News Today O...  via @YouTube  ,0.10331833399999368
Carpe diem,https://twitter.com/Carpediem198507,"\xb7Oct 4, 2019",Breaking Trump News [5PM] 10/4/19 | CNN Breaking News Today Oct 4   Of course trump will deny and refuse to anything he's asked to do using any excuses he can find.,0.10353616700000146
Matt Menard,https://twitter.com/matt_menard2020,"\xb7Oct 7, 2019","Replying to @CNNBreaking News: President Trump has released a statement that the video of him getting pee'd on by Russian prostitutes is a ""Deep Fake"". ""It wasn't me! I was not in the movie Golden Showers for my Golden Years"".",0.10378425000000391
Ajay Anand | Rare Carat,N/A,N/A,N/A,0.10388304200000675
david justice,https://twitter.com/23davidjustice,"\xb7Oct 6, 2019",CNN State of Union with Jake Tapper 10/06/19 | CNN Breaking News Today O...  via @YouTube1,0.10392945899999972
