,title,authors,publish_date,text,url,duration
3,Surprise Apple Event Hints at First New iPads in Years,Tablets,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
4,Surprise Apple Event Hints at First New iPads in Years,Gaming,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
5,Surprise Apple Event Hints at First New iPads in Years,Future Emerging Trends In Our Changing World. Other Obsessions Include Magic,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
6,Surprise Apple Event Hints at First New iPads in Years,Immersive Theater,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
7,Surprise Apple Event Hints at First New iPads in Years,Puzzles,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
8,Surprise Apple Event Hints at First New iPads in Years,Board Games,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
9,Surprise Apple Event Hints at First New iPads in Years,Cooking,,"We haven't seen a new iPad in years, but Apple seems likely to change that in just a few weeks. All ",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvY29tcHV0aW5nL3N1cnByaXNlLWFwcGxlLWV2ZW50LWhpbnRzLWF0LWZpcnN0LW5ldy1pcGFkcy1pbi15ZWFycy_SAQA?oc=5,0.7504618167877197
0,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Ben Schoon,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
1,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Abner Li,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
2,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Kyle Bradshaw,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
3,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Damien Wilde,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
4,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Google Pixel Watch,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
5,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Ben'S Smartwatch Of Choice With His Phone Is The Google Pixel Watch,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
6,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Reserve Galaxy,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
